"","V1","V2","V3","V4","V5","V6","V7"
"1",440.65,422.74,434.54,445.46,439.81,434.56,428.07
"2",423,431.99,430.04,426.87,429.54,439.83,419.77
"3",420.2,432.84,436.73,428.53,414.68,434.4,418.77
"4",422.85,420.46,427.93,436.45,432.21,415.63,430.94
"5",425.56,423.49,418.01,419.19,436.11,423.25,411.24
"6",444.75,422.19,436.22,437.63,436.8,424,441.84
"7",435.34,442.16,426.7,405.34,402.18,434.92,434.07
"8",419.33,426.03,433.03,438.28,407.76,410.51,430.13
"9",440.44,436.75,417.5,431.79,434.25,420.45,420.58
"10",434.72,416.86,429.49,447.8,426.28,438.24,420.4
"11",442.17,423.89,425.98,418.15,423.4,419.01,427.85
"12",450.42,444.1,437.71,445.9,444.17,437.17,443.52
"13",443.88,429.53,433.18,432.25,440.29,434.11,418.16
"14",429.03,427.91,444.4,425.09,414.62,430.25,435.04
"15",435.77,446.47,420.13,425.25,422.77,428.64,429.2
"16",434.03,424.58,427.77,429.22,444,439.38,423.28
"17",435.13,430,427.64,434.73,423.34,421.8,426.33
"18",422.19,451.58,406.3,429.55,430.88,423.83,443.85
"19",423.98,438.56,436.31,424.17,438.9,403.56,434.06
"20",430.91,424.28,447.8,422.97,428.85,420.7,440.62
"21",425.51,444.26,430.85,439.62,445.52,431.16,446.88
"22",436.18,416.14,436.29,432.9,445.34,438.16,420.18
"23",430.75,422.06,430.32,423.81,439.33,417.13,421.75
"24",431.18,424.37,435.41,426.35,433.37,423.42,432.08
"25",418.87,434.57,420.51,417.25,430.47,445.53,425.89
"26",416.71,426.34,433.88,407.64,428.89,437.59,450.88
"27",436.49,409.57,425.84,428.4,424.37,422.58,419.22
"28",443.41,438.29,417.53,438.7,434.01,411.42,431.51
"29",429.35,428.1,430.24,410.6,425.58,442.95,428.69
"30",437.63,422.88,449.89,428.82,440.16,437.71,426.44
"31",433.15,434.64,446.88,443.89,407.96,418.98,443.74
"32",426.12,435.89,430.94,434.63,434.14,443.55,443.73
"33",428.03,415.15,433.85,429.32,448.16,423.35,442.94
"34",427.64,423.84,429.16,403.99,425.76,433.39,430.37
"35",443.86,434.93,444.39,433.13,427.73,436.94,445.4
"36",421.47,427.1,428.97,435.15,423.47,402.2,431.38
"37",447.9,434.69,435.31,421.66,427.93,440.52,438.8
"38",425.9,406.74,417.37,433.6,419.64,433.05,430.93
"39",429.51,436.16,451.12,433.79,433.81,426.52,423.17
"40",438.58,433.03,429.78,431.89,428.44,427.41,424.79
"41",421.27,434.78,428.89,443.49,425.16,437.85,424.33
"42",435.01,441.53,428.88,414.47,425.02,424.89,438.55
"43",432.66,430.28,441.27,413.99,421.12,433.69,437.06
"44",404.21,415.52,438.54,443.4,429.32,432.58,439.44
"45",442.88,418.22,437.94,425.51,435.59,430.38,432.09
"46",419.83,418.8,445.33,450.48,434.76,436.53,433.38
"47",421.81,431.58,436.18,440.92,419.91,428.6,428.42
"48",412.43,438.2,426.81,449.83,422.23,430.09,424.5
"49",422.09,431.8,423.76,439.02,434.55,409.72,427.97
"50",425.44,425.93,437.36,422.98,428.03,422.77,428.3
"51",436.41,432.16,413.89,414.96,445.95,427.36,446.05
"52",458.38,440.49,443.23,416.08,437.53,427.87,433.21
"53",442.43,427.54,426.15,432.53,425.5,438.85,416.8
"54",426.93,426.78,412.05,429.77,405.47,434,430.77
"55",433.76,424.98,431.9,439.17,444.35,425.08,426.29
"56",430.05,443.3,423.85,419.32,425.73,416.83,416.38
"57",424.86,422.97,429.57,446.68,435.33,439.38,423.67
"58",429.72,442.71,428.43,421.62,432.99,420.8,438.73
"59",446.61,434.21,437.19,433.08,443.36,410.34,440.28
"60",427.26,416.45,431.9,433.64,429.05,439.25,422.2
"61",437.75,423.13,419.95,422.18,439.49,430.18,445.6
"62",433.76,431.74,428.36,443.86,425.06,441.81,426.58
"63",418.59,444.65,431.05,434.9,433.45,448.24,442.08
"64",422.9,422.2,420.32,438.41,431.74,414.34,423.61
"65",419.74,416.25,428.39,435.74,431.48,428.02,435.75
"66",435.52,417.01,439.94,438.74,423.04,418.96,429.8
"67",445.41,435.23,445.15,417.94,420.44,435.99,430.32
"68",442.48,417.89,447.74,440.53,439.56,433.06,431.64
"69",430.61,437.13,436.77,415.85,434.73,425.52,412.11
"70",422.91,414.86,434.46,429.39,424.48,422.45,428.61
"71",434.59,432.78,417.71,418.46,429.32,439.87,430.29
"72",440.1,423.43,418.29,427.82,430.73,444.8,412.12
"73",431.55,435.37,430.12,420.56,425.13,429.38,428.71
"74",432.47,423.09,424.9,429.77,424.94,426.65,420.4
"75",444.84,443.03,436.74,421.19,415.06,424.45,430.6
"76",438.08,431.44,422.91,428.55,448.87,437.57,442.07
"77",432.9,417.47,436.65,437.85,430.51,445.76,417.29
"78",426.24,433.61,415.6,429,434.23,419.14,440.07
"79",434.94,436.96,438.09,433.02,428.03,428.69,428.75
"80",422.58,433.21,429.3,421.02,417.9,425.05,426.93
